zip,lat,lon
01655,42.27174429999999,-71.7588217
01701,42.3240042,-71.4536835
01702,42.2781628,-71.4358733
01703,42.3,-71.42999999999999
01704,42.2799454,-71.4199677
01705,42.33,-71.4
01718,42.5204439,-71.4295653
01719,42.4955325,-71.51304449999999
01720,42.4836453,-71.4418101
01721,42.2592911,-71.46555649999999
01730,42.4936646,-71.2755422
01731,42.4585844,-71.2785119
01740,42.4352987,-71.6080009
01741,42.52464,-71.3468091
01742,42.4527187,-71.3705616
01745,42.2923845,-71.4996891
01746,42.198093,-71.4418101
01747,42.1221817,-71.5308508
01748,42.2254318,-71.5486562
01749,42.38938479999999,-71.560526
01752,42.347372,-71.53678599999999
01754,42.4248817,-71.4596201
01756,42.0840678,-71.560526
01757,42.141566,-71.5192361
01760,42.2775281,-71.3468091
01770,42.2433966,-71.3705616
01772,42.3092759,-71.53678599999999
01773,42.4217357,-71.2992993
01775,42.4195323,-71.51304449999999
01776,42.384659,-71.4180622
01778,42.3576744,-71.3705616
01784,42.2383646,-71.56302620000001
01801,42.4884618,-71.13296849999999
01803,42.50057229999999,-71.20426189999999
01805,42.4883003,-71.2015991
01810,42.6568574,-71.1407888
01812,42.6468303,-71.18513039999999
01813,42.51,-71.13000000000001
01815,42.51,-71.13000000000001
01821,42.5465306,-71.2517835
01822,42.5891403,-71.306564
01824,42.6004425,-71.3468091
01826,42.6705383,-71.3000493
01827,42.6810954,-71.4893013
01830,42.7935917,-71.0378909
01831,42.7737696,-71.081924
01832,42.7909839,-71.13296849999999
01833,42.7247859,-70.9665682
01834,42.7518132,-71.014118
01835,42.7508871,-71.0913748
01840,42.7073383,-71.1611903
01841,42.7139972,-71.1656462
01842,42.706923,-71.1654471
01843,42.6875214,-71.1626756
01844,42.7276358,-71.20426189999999
01845,42.66963639999999,-71.0854325
01850,42.6568135,-71.3022688
01851,42.6325727,-71.3408707
01852,42.6303002,-71.2992993
01853,42.6442791,-71.3087836
01854,42.6460285,-71.3646236
01860,42.8460215,-71.014118
01862,42.5792379,-71.3052383
01863,42.6310917,-71.38837509999999
01864,42.5750833,-71.0854325
01865,42.5334722,-71.262934
01866,42.527453,-71.225301
01867,42.5412689,-71.10920120000002
01876,42.6182538,-71.2280234
01879,42.6691846,-71.4180622
01880,42.50101230000001,-71.067605
01885,42.7071748,-71.0638544
01886,42.5899487,-71.4536835
01887,42.5682996,-71.15673439999999
01888,42.51,-71.13000000000001
01889,42.573519,-71.1138491
01890,42.4488116,-71.150793
01899,42.6468303,-71.18513039999999
01901,42.4602394,-70.94724959999999
01902,42.4719938,-70.9398192
01903,42.46489769999999,-70.9461145
01904,42.4941972,-70.97251229999999
01905,42.4678076,-70.9844
01906,42.4681642,-71.014118
01907,42.4724446,-70.9011786
01908,42.4272831,-70.9279301
01910,42.4546013,-70.9746801
01913,42.8525821,-70.94279139999999
01915,42.5720581,-70.8476708
01921,42.6763235,-71.014118
01922,42.7543139,-70.91901320000001
01923,42.569557,-70.94279139999999
01929,42.6352771,-70.7763169
01930,42.6186994,-70.6811613
01931,42.61404479999999,-70.66307549999999
01936,42.6219896,-70.8542725
01937,42.5867857,-70.972043
01938,42.673911,-70.83577919999999
01940,42.5348403,-71.0438339
01944,42.5785949,-70.7763169
01945,42.4963567,-70.8476708
01949,42.6007246,-71.014118
01950,42.8104135,-70.8892886
01951,42.7796754,-70.8476708
01952,42.8402704,-70.8714528
01960,42.5357932,-70.9665682
01961,42.537151,-70.9458637
01965,42.5591076,-70.8262101
01966,42.6497175,-70.6157308
01969,42.7288504,-70.868951
01970,42.5235097,-70.89523369999999
01971,42.5198514,-70.8961127
01982,42.6287628,-70.8476708
01983,42.639756,-70.9504038
01984,42.6008323,-70.8773982
01985,42.8001919,-70.9665682
02018,42.2426338,-70.8892183
02019,42.0874065,-71.46555649999999
02020,42.0912361,-70.64670629999999
02021,42.1841964,-71.13296849999999
02025,42.2454632,-70.8238874
02026,42.2494514,-71.1804988
02027,42.2468295,-71.15365469999999
02030,42.2274115,-71.2755422
02032,42.1543722,-71.2102024
